##### Q = 0
Solution 3, t = 11/7, spins [3, 5, 7, 9, 11, 13], shape w^alpha (1-w)^0, Q = 0 polynomial shapes
   alpha = 0.8: relative residual 0.564156  (27 equations, 2 unknowns)
   alpha = 0.85: relative residual 0.494369  (27 equations, 2 unknowns)
   alpha = 0.9: relative residual 0.639317  (27 equations, 2 unknowns)
   alpha = 0.95: relative residual 0.270868  (27 equations, 2 unknowns)
   alpha = 1.0: relative residual 0.137453  (27 equations, 2 unknowns)
   alpha = 1.05: relative residual 0.379234  (27 equations, 2 unknowns)
   alpha = 1.1: relative residual 0.802082  (27 equations, 2 unknowns)
   alpha = 1.15: relative residual 0.592063  (27 equations, 2 unknowns)
   alpha = 1.2: relative residual 0.73444  (27 equations, 2 unknowns)
   alpha = 1.25: gamma function pole
   alpha = 1.3: relative residual 0.933734  (27 equations, 2 unknowns)
   alpha = 1.35: relative residual 0.890364  (27 equations, 2 unknowns)
   alpha = 1.4: relative residual 0.960481  (27 equations, 2 unknowns)
   alpha = 1.45: relative residual 0.948375  (27 equations, 2 unknowns)
   alpha = 1.5: relative residual 0.698948  (27 equations, 2 unknowns)
   alpha = 1.55: relative residual 0.536272  (27 equations, 2 unknowns)
   alpha = 1.6: relative residual 0.502833  (27 equations, 2 unknowns)
   alpha = 1.65: relative residual 0.516509  (27 equations, 2 unknowns)
   alpha = 1.7: relative residual 0.542098  (27 equations, 2 unknowns)
   alpha = 1.75: gamma function pole
   alpha = 1.8: relative residual 0.595693  (27 equations, 2 unknowns)
   alpha = 1.85: relative residual 0.620439  (27 equations, 2 unknowns)
   alpha = 1.9: relative residual 0.643637  (27 equations, 2 unknowns)
   alpha = 1.95: relative residual 0.665433  (27 equations, 2 unknowns)
   alpha = 2.0: relative residual 0.685977  (27 equations, 2 unknowns)
   alpha = 2.05: relative residual 0.705394  (27 equations, 2 unknowns)
   alpha = 2.1: relative residual 0.723777  (27 equations, 2 unknowns)
   alpha = 2.15: relative residual 0.74119  (27 equations, 2 unknowns)
   alpha = 2.2: relative residual 0.757681  (27 equations, 2 unknowns)
   alpha = 2.25: gamma function pole
   alpha = 2.3: relative residual 0.788028  (27 equations, 2 unknowns)
   alpha = 2.35: relative residual 0.801934  (27 equations, 2 unknowns)
   alpha = 2.4: relative residual 0.815026  (27 equations, 2 unknowns)
   alpha = 2.45: relative residual 0.827328  (27 equations, 2 unknowns)
   alpha = 2.5: relative residual 0.838865  (27 equations, 2 unknowns)
   alpha = 2.55: relative residual 0.849664  (27 equations, 2 unknowns)
   alpha = 2.6: relative residual 0.859755  (27 equations, 2 unknowns)
   alpha = 2.65: relative residual 0.869169  (27 equations, 2 unknowns)
   alpha = 2.7: relative residual 0.877939  (27 equations, 2 unknowns)
   alpha = 2.75: relative residual 0.886097  (27 equations, 2 unknowns)
   alpha = 2.8: relative residual 0.893678  (27 equations, 2 unknowns)
   alpha = 2.85: relative residual 0.900715  (27 equations, 2 unknowns)
   alpha = 2.9: relative residual 0.907242  (27 equations, 2 unknowns)
   alpha = 2.95: relative residual 0.913291  (27 equations, 2 unknowns)
   alpha = 3.0: relative residual 0.918893  (27 equations, 2 unknowns)
   alpha = 3.05: relative residual 0.92408  (27 equations, 2 unknowns)
   alpha = 3.1: relative residual 0.928879  (27 equations, 2 unknowns)
   alpha = 3.15: relative residual 0.933319  (27 equations, 2 unknowns)
   alpha = 3.2: relative residual 0.937424  (27 equations, 2 unknowns)
   alpha = 3.25: gamma function pole
   alpha = 3.3: relative residual 0.94473  (27 equations, 2 unknowns)
   alpha = 3.35: relative residual 0.947974  (27 equations, 2 unknowns)
   alpha = 3.4: relative residual 0.950973  (27 equations, 2 unknowns)
   alpha = 3.45: relative residual 0.953745  (27 equations, 2 unknowns)
   alpha = 3.5: relative residual 0.956308  (27 equations, 2 unknowns)
   alpha = 3.55: relative residual 0.958677  (27 equations, 2 unknowns)
   alpha = 3.6: relative residual 0.960866  (27 equations, 2 unknowns)
   alpha = 3.65: relative residual 0.96289  (27 equations, 2 unknowns)
   alpha = 3.7: relative residual 0.964762  (27 equations, 2 unknowns)
   alpha = 3.75: relative residual 0.966492  (27 equations, 2 unknowns)
   alpha = 3.8: relative residual 0.968091  (27 equations, 2 unknowns)
   alpha = 3.85: relative residual 0.969569  (27 equations, 2 unknowns)
   alpha = 3.9: relative residual 0.970936  (27 equations, 2 unknowns)
   alpha = 3.95: relative residual 0.972199  (27 equations, 2 unknowns)
   alpha = 4.0: relative residual 0.973367  (27 equations, 2 unknowns)
   alpha = 4.05: relative residual 0.974446  (27 equations, 2 unknowns)
   alpha = 4.1: relative residual 0.975444  (27 equations, 2 unknowns)
   alpha = 4.15: relative residual 0.976365  (27 equations, 2 unknowns)
   alpha = 4.2: relative residual 0.977216  (27 equations, 2 unknowns)
   alpha = 4.25: gamma function pole
   alpha = 4.3: relative residual 0.978727  (27 equations, 2 unknowns)
   alpha = 4.35: relative residual 0.979397  (27 equations, 2 unknowns)
   alpha = 4.4: relative residual 0.980014  (27 equations, 2 unknowns)
   alpha = 4.45: relative residual 0.980583  (27 equations, 2 unknowns)
   alpha = 4.5: relative residual 0.981107  (27 equations, 2 unknowns)
   alpha = 4.55: relative residual 0.98159  (27 equations, 2 unknowns)
   alpha = 4.6: relative residual 0.982034  (27 equations, 2 unknowns)
   alpha = 4.65: relative residual 0.982442  (27 equations, 2 unknowns)
   alpha = 4.7: relative residual 0.982817  (27 equations, 2 unknowns)
   alpha = 4.75: relative residual 0.98316  (27 equations, 2 unknowns)
   alpha = 4.8: relative residual 0.983475  (27 equations, 2 unknowns)
   alpha = 4.85: relative residual 0.983763  (27 equations, 2 unknowns)
   alpha = 4.9: relative residual 0.984026  (27 equations, 2 unknowns)
   alpha = 4.95: relative residual 0.984266  (27 equations, 2 unknowns)
   alpha = 5.0: relative residual 0.984484  (27 equations, 2 unknowns)
   alpha = 5.05: relative residual 0.984682  (27 equations, 2 unknowns)
   alpha = 5.1: relative residual 0.984861  (27 equations, 2 unknowns)
   alpha = 5.15: relative residual 0.985023  (27 equations, 2 unknowns)
   alpha = 5.2: relative residual 0.985168  (27 equations, 2 unknowns)
   alpha = 5.25: gamma function pole
   alpha = 5.3: relative residual 0.985415  (27 equations, 2 unknowns)
   alpha = 5.35: relative residual 0.985519  (27 equations, 2 unknowns)
   alpha = 5.4: relative residual 0.98561  (27 equations, 2 unknowns)
   alpha = 5.45: relative residual 0.98569  (27 equations, 2 unknowns)
   alpha = 5.5: relative residual 0.985759  (27 equations, 2 unknowns)
   alpha = 5.55: relative residual 0.985819  (27 equations, 2 unknowns)
   alpha = 5.6: relative residual 0.985869  (27 equations, 2 unknowns)
   alpha = 5.65: relative residual 0.985911  (27 equations, 2 unknowns)
   alpha = 5.7: relative residual 0.985946  (27 equations, 2 unknowns)
   alpha = 5.75: relative residual 0.985973  (27 equations, 2 unknowns)
   alpha = 5.8: relative residual 0.985993  (27 equations, 2 unknowns)
   alpha = 5.85: relative residual 0.986007  (27 equations, 2 unknowns)
