F00 3 3 10 = {0, 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 54/5, 18/5, 0, 6, 0, 0, 0, 0, 0, 0, 0, -1773/28, -279/14, -18/7, 0, -87/2, -12, 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, 37583/60, 3647/20, 24, 5/3, 0, 1845/4, 132, 15, 0, 84, 21, 0, 5, 0, 0}
F00 3 3 01 = {0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 54/5, 18/5, 0, 0, 6, 0, 0, 0, 0, 0, -1773/28, -279/14, -18/7, 0, 0, -87/2, -12, 0, 0, -6, 0, 0, 0, 0, 0, 37583/60, 3647/20, 24, 5/3, 0, 0, 1845/4, 132, 15, 0, 0, 84, 21, 0, 0, 5, 0, 0, 0, 0}
F00 4 3 00 = {0, 0, 0, 32/5, 0, 0, 0, 0, 0, -512/35, -32/5, 0, 0, -288/35, 0, 0, 0, 0, 0, 2734/35, 208/7, 32/7, 0, 0, 1136/21, 128/7, 0, 0, 160/21, 0, 0, 0, 0, 0, -120418/165, -1212/5, -36, -8/3, 0, 0, -89092/165, -536/3, -24, 0, 0, -3284/33, -88/3, 0, 0, -200/33, 0, 0, 0, 0, 0}
F00 4 3 10 = {0, 0, 0, 0, 0, 0, 32/5, 0, 0, 0, 0, 0, 0, -512/35, -32/5, 0, -288/35, 0, 0, 0, 0, 0, 0, 0, 2734/35, 208/7, 32/7, 0, 1136/21, 128/7, 0, 160/21, 0, 0, 0, 0, 0, 0, 0, 0, -120418/165, -1212/5, -36, -8/3, 0, -89092/165, -536/3, -24, 0, -3284/33, -88/3, 0, -200/33, 0, 0}
F00 4 3 01 = {0, 0, 0, 0, 32/5, 0, 0, 0, 0, 0, -512/35, -32/5, 0, 0, -288/35, 0, 0, 0, 0, 0, 2734/35, 208/7, 32/7, 0, 0, 1136/21, 128/7, 0, 0, 160/21, 0, 0, 0, 0, 0, -120418/165, -1212/5, -36, -8/3, 0, 0, -89092/165, -536/3, -24, 0, 0, -3284/33, -88/3, 0, 0, -200/33, 0, 0, 0, 0}
F00 5 3 00 = {0, 0, 0, -64/7, 0, 0, 0, 0, 0, 656/35, 352/35, 0, 0, 32/3, 0, 0, 0, 0, 0, -7192/77, -288/7, -48/7, 0, 0, -5024/77, -544/21, 0, 0, -720/77, 0, 0, 0, 0, 0, 12529654/15015, 16756/55, 44, 8/3, 0, 0, 88796/143, 7640/33, 104/3, 0, 0, 49612/429, 1288/33, 0, 0, 280/39, 0, 0, 0, 0, 0}
F00 5 3 10 = {0, 0, 0, 0, 0, 0, -64/7, 0, 0, 0, 0, 0, 0, 656/35, 352/35, 0, 32/3, 0, 0, 0, 0, 0, 0, 0, -7192/77, -288/7, -48/7, 0, -5024/77, -544/21, 0, -720/77, 0, 0, 0, 0, 0, 0, 0, 0, 12529654/15015, 16756/55, 44, 8/3, 0, 88796/143, 7640/33, 104/3, 0, 49612/429, 1288/33, 0, 280/39, 0, 0}
F00 5 3 01 = {0, 0, 0, 0, -64/7, 0, 0, 0, 0, 0, 656/35, 352/35, 0, 0, 32/3, 0, 0, 0, 0, 0, -7192/77, -288/7, -48/7, 0, 0, -5024/77, -544/21, 0, 0, -720/77, 0, 0, 0, 0, 0, 12529654/15015, 16756/55, 44, 8/3, 0, 0, 88796/143, 7640/33, 104/3, 0, 0, 49612/429, 1288/33, 0, 0, 280/39, 0, 0, 0, 0}
F00 1 4 00 = {0, 0, 0, -1/10, 0, 0, 0, 0, 0, -291/280, 9/140, 0, 0, -11/20, 0, 0, 0, 0, 0, 102499/3360, 67/56, -5/168, 0, 0, 1121/56, 17/28, 0, 0, 19/8, 0, 0, 0, 0, 0, -14352589/21120, -202573/3520, -345/352, 7/528, 0, 0, -464663/960, -611/16, -23/48, 0, 0, -2559/32, -75/16, 0, 0, -63/16, 0, 0, 0, 0, 0}
F00 1 4 10 = {0, 0, 0, 0, 0, 0, -1/10, 0, 0, 0, 0, 0, 0, -291/280, 9/140, 0, -11/20, 0, 0, 0, 0, 0, 0, 0, 102499/3360, 67/56, -5/168, 0, 1121/56, 17/28, 0, 19/8, 0, 0, 0, 0, 0, 0, 0, 0, -14352589/21120, -202573/3520, -345/352, 7/528, 0, -464663/960, -611/16, -23/48, 0, -2559/32, -75/16, 0, -63/16, 0, 0}
