F00 2 3 00 = {0, 0, 0, 14/3, 0, 0, 0, 0, 0, -359/6, -4, 0, 0, -8, 0, 0, 0, 0, 0, 172189/168, 1385/14, 39/14, 0, 0, 389/2, 15, 0, 0, 17/2, 0, 0, 0, 0, 0, -2195987/96, -189245/72, -7889/72, -16/9, 0, 0, -123239/24, -2159/4, -18, 0, 0, -8219/24, -28, 0, 0, -22/3, 0, 0, 0, 0, 0}
F00 2 3 10 = {0, 0, 0, 0, 0, 0, 14/3, 0, 0, 0, 0, 0, 0, -359/6, -4, 0, -8, 0, 0, 0, 0, 0, 0, 0, 172189/168, 1385/14, 39/14, 0, 389/2, 15, 0, 17/2, 0, 0, 0, 0, 0, 0, 0, 0, -2195987/96, -189245/72, -7889/72, -16/9, 0, -123239/24, -2159/4, -18, 0, -8219/24, -28, 0, -22/3, 0, 0}
F00 2 3 01 = {0, 0, 0, 0, 14/3, 0, 0, 0, 0, 0, -359/6, -4, 0, 0, -8, 0, 0, 0, 0, 0, 172189/168, 1385/14, 39/14, 0, 0, 389/2, 15, 0, 0, 17/2, 0, 0, 0, 0, 0, -2195987/96, -189245/72, -7889/72, -16/9, 0, 0, -123239/24, -2159/4, -18, 0, 0, -8219/24, -28, 0, 0, -22/3, 0, 0, 0, 0}
F00 3 3 00 = {0, 0, 0, -28/3, 0, 0, 0, 0, 0, 1498/15, 10, 0, 0, 62/5, 0, 0, 0, 0, 0, -17869/12, -2631/14, -58/7, 0, 0, -3921/14, -28, 0, 0, -82/7, 0, 0, 0, 0, 0, 1819507/60, 150907/36, 2104/9, 55/9, 0, 0, 1227137/180, 868, 39, 0, 0, 4084/9, 45, 0, 0, 85/9, 0, 0, 0, 0, 0}
F00 3 3 10 = {0, 0, 0, 0, 0, 0, -28/3, 0, 0, 0, 0, 0, 0, 1498/15, 10, 0, 62/5, 0, 0, 0, 0, 0, 0, 0, -17869/12, -2631/14, -58/7, 0, -3921/14, -28, 0, -82/7, 0, 0, 0, 0, 0, 0, 0, 0, 1819507/60, 150907/36, 2104/9, 55/9, 0, 1227137/180, 868, 39, 0, 4084/9, 45, 0, 85/9, 0, 0}
F00 3 3 01 = {0, 0, 0, 0, -28/3, 0, 0, 0, 0, 0, 1498/15, 10, 0, 0, 62/5, 0, 0, 0, 0, 0, -17869/12, -2631/14, -58/7, 0, 0, -3921/14, -28, 0, 0, -82/7, 0, 0, 0, 0, 0, 1819507/60, 150907/36, 2104/9, 55/9, 0, 0, 1227137/180, 868, 39, 0, 0, 4084/9, 45, 0, 0, 85/9, 0, 0, 0, 0}
F00 4 3 00 = {0, 0, 0, 224/15, 0, 0, 0, 0, 0, -15712/105, -96/5, 0, 0, -608/35, 0, 0, 0, 0, 0, 213818/105, 2192/7, 128/7, 0, 0, 7984/21, 320/7, 0, 0, 320/21, 0, 0, 0, 0, 0, -6395366/165, -279284/45, -3868/9, -136/9, 0, 0, -4318756/495, -3880/3, -72, 0, 0, -57380/99, -200/3, 0, 0, -1160/99, 0, 0, 0, 0, 0}
F00 4 3 10 = {0, 0, 0, 0, 0, 0, 224/15, 0, 0, 0, 0, 0, 0, -15712/105, -96/5, 0, -608/35, 0, 0, 0, 0, 0, 0, 0, 213818/105, 2192/7, 128/7, 0, 7984/21, 320/7, 0, 320/21, 0, 0, 0, 0, 0, 0, 0, 0, -6395366/165, -279284/45, -3868/9, -136/9, 0, -4318756/495, -3880/3, -72, 0, -57380/99, -200/3, 0, -1160/99, 0, 0}
F00 4 3 01 = {0, 0, 0, 0, 224/15, 0, 0, 0, 0, 0, -15712/105, -96/5, 0, 0, -608/35, 0, 0, 0, 0, 0, 213818/105, 2192/7, 128/7, 0, 0, 7984/21, 320/7, 0, 0, 320/21, 0, 0, 0, 0, 0, -6395366/165, -279284/45, -3868/9, -136/9, 0, 0, -4318756/495, -3880/3, -72, 0, 0, -57380/99, -200/3, 0, 0, -1160/99, 0, 0, 0, 0}
F00 5 3 00 = {0, 0, 0, -64/3, 0, 0, 0, 0, 0, 4400/21, 32, 0, 0, 160/7, 0, 0, 0, 0, 0, -8008/3, -480, -240/7, 0, 0, -10400/21, -480/7, 0, 0, -400/21, 0, 0, 0, 0, 0, 1590610/33, 78508/9, 6460/9, 280/9, 0, 0, 1075340/99, 5480/3, 120, 0, 0, 71300/99, 280/3, 0, 0, 1400/99, 0, 0, 0, 0, 0}
