Solution 3, spins 1-11: scalar + normalizations rank 41, augmented 42
   F03 alone: 54 columns, rank 41 (+0), inconsistent
   F10 alone: 54 columns, rank 59 (+18), inconsistent
   F12 alone: 54 columns, rank 59 (+18), inconsistent
   F20 alone: 54 columns, rank 59 (+18), inconsistent
   F00 + F02: 108 columns, rank 71 (+30), inconsistent
   F00 + F03: 108 columns, rank 58 (+17), inconsistent
   F00 + F10: 108 columns, rank 61 (+20), inconsistent
   F00 + F12: 108 columns, rank 76 (+35), inconsistent
   F00 + F20: 108 columns, rank 64 (+23), inconsistent
   F02 + F03: 108 columns, rank 58 (+17), inconsistent
   F02 + F10: 108 columns, rank 72 (+31), inconsistent
   F02 + F12: 108 columns, rank 76 (+35), inconsistent
   F02 + F20: 108 columns, rank 74 (+33), inconsistent
   F03 + F10: 108 columns, rank 59 (+18), inconsistent
   F03 + F12: 108 columns, rank 59 (+18), inconsistent
   F03 + F20: 108 columns, rank 59 (+18), inconsistent
   F10 + F12: 108 columns, rank 77 (+36), inconsistent
   F10 + F20: 108 columns, rank 62 (+21), inconsistent
   F12 + F20: 108 columns, rank 77 (+36), inconsistent
--- pole order <= 5
   F00 alone: 75 columns, rank 61 (+20), inconsistent
   F02 alone: 75 columns, rank 61 (+20), inconsistent
   F03 alone: 75 columns, rank 41 (+0), inconsistent
   F10 alone: 75 columns, rank 62 (+21), inconsistent
   F12 alone: 75 columns, rank 62 (+21), inconsistent
   F20 alone: 75 columns, rank 62 (+21), inconsistent
   F00 + F02: 150 columns, rank 76 (+35), inconsistent
   F00 + F03: 150 columns, rank 61 (+20), inconsistent
   F00 + F10: 150 columns, rank 64 (+23), inconsistent
   F00 + F12: 150 columns, rank 82 (+41), inconsistent
   F00 + F20: 150 columns, rank 66 (+25), inconsistent
   F02 + F03: 150 columns, rank 61 (+20), inconsistent
   F02 + F10: 150 columns, rank 77 (+36), inconsistent
   F02 + F12: 150 columns, rank 82 (+41), inconsistent
   F02 + F20: 150 columns, rank 79 (+38), inconsistent
   F03 + F10: 150 columns, rank 62 (+21), inconsistent
   F03 + F12: 150 columns, rank 62 (+21), inconsistent
   F03 + F20: 150 columns, rank 62 (+21), inconsistent
   F10 + F12: 150 columns, rank 83 (+42), CONSISTENT [saturated]
   F10 + F20: 150 columns, rank 65 (+24), inconsistent
   F12 + F20: 150 columns, rank 83 (+42), CONSISTENT [saturated]
--- pole order <= 6
   F00 alone: 99 columns, rank 64 (+23), inconsistent
   F02 alone: 99 columns, rank 64 (+23), inconsistent
   F03 alone: 99 columns, rank 41 (+0), inconsistent
   F10 alone: 99 columns, rank 65 (+24), inconsistent
   F12 alone: 99 columns, rank 65 (+24), inconsistent
   F20 alone: 99 columns, rank 65 (+24), inconsistent
   F00 + F02: 198 columns, rank 81 (+40), inconsistent
   F00 + F03: 198 columns, rank 64 (+23), inconsistent
   F00 + F10: 198 columns, rank 66 (+25), inconsistent
   F00 + F12: 198 columns, rank 83 (+42), CONSISTENT [saturated]
   F00 + F20: 198 columns, rank 66 (+25), inconsistent
   F02 + F03: 198 columns, rank 64 (+23), inconsistent
   F02 + F10: 198 columns, rank 81 (+40), inconsistent
   F02 + F12: 198 columns, rank 83 (+42), CONSISTENT [saturated]
   F02 + F20: 198 columns, rank 81 (+40), inconsistent
   F03 + F10: 198 columns, rank 65 (+24), inconsistent
   F03 + F12: 198 columns, rank 65 (+24), inconsistent
   F03 + F20: 198 columns, rank 65 (+24), inconsistent
   F10 + F12: 198 columns, rank 83 (+42), CONSISTENT [saturated]
   F10 + F20: 198 columns, rank 66 (+25), inconsistent
   F12 + F20: 198 columns, rank 83 (+42), CONSISTENT [saturated]
DONE
