F00 1 3 10 = {0, 0, 0, 0, 0, 0, -1/2, 0, 0, 0, 0, 0, 0, 167/40, 7/20, 0, 9/4, 0, 0, 0, 0, 0, 0, 0, -8031/224, -325/56, -11/56, 0, -193/8, -13/4, 0, -25/8, 0, 0, 0, 0, 0, 0, 0, 0, 822301/1920, 26657/320, 177/32, 5/48, 0, 19951/64, 929/16, 51/16, 0, 1757/32, 133/16, 0, 49/16, 0, 0, 0, 0, 0, 0, 0, 0, 0, -39547515/5632, -1042101/704, -83781/704, -785/176, -19/352, 0, -340101/64, -35295/32, -1359/16, -21/8, 0, -67587/64, -3321/16, -207/16, 0, -1317/16, -105/8, 0, -81/32, 0, 0}
F00 1 3 01 = {0, 0, 0, 0, -1/2, 0, 0, 0, 0, 0, 167/40, 7/20, 0, 0, 9/4, 0, 0, 0, 0, 0, -8031/224, -325/56, -11/56, 0, 0, -193/8, -13/4, 0, 0, -25/8, 0, 0, 0, 0, 0, 822301/1920, 26657/320, 177/32, 5/48, 0, 0, 19951/64, 929/16, 51/16, 0, 0, 1757/32, 133/16, 0, 0, 49/16, 0, 0, 0, 0, 0, -39547515/5632, -1042101/704, -83781/704, -785/176, -19/352, 0, 0, -340101/64, -35295/32, -1359/16, -21/8, 0, 0, -67587/64, -3321/16, -207/16, 0, 0, -1317/16, -105/8, 0, 0, -81/32, 0, 0, 0, 0}
F00 2 3 00 = {0, 0, 0, 2, 0, 0, 0, 0, 0, -73/10, -8/5, 0, 0, -4, 0, 0, 0, 0, 0, 2755/56, 167/14, 15/14, 0, 0, 67/2, 7, 0, 0, 9/2, 0, 0, 0, 0, 0, -252319/480, -5149/40, -105/8, -2/3, 0, 0, -3081/8, -367/4, -8, 0, 0, -553/8, -14, 0, 0, -4, 0, 0, 0, 0, 0, 11415139/1408, 349793/176, 36161/176, 529/44, 35/88, 0, 0, 98529/16, 11973/8, 603/4, 15/2, 0, 0, 19779/16, 1161/4, 99/4, 0, 0, 393/4, 39/2, 0, 0, 25/8, 0, 0, 0, 0, 0}
F00 2 3 10 = {0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, -73/10, -8/5, 0, -4, 0, 0, 0, 0, 0, 0, 0, 2755/56, 167/14, 15/14, 0, 67/2, 7, 0, 9/2, 0, 0, 0, 0, 0, 0, 0, 0, -252319/480, -5149/40, -105/8, -2/3, 0, -3081/8, -367/4, -8, 0, -553/8, -14, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11415139/1408, 349793/176, 36161/176, 529/44, 35/88, 0, 98529/16, 11973/8, 603/4, 15/2, 0, 19779/16, 1161/4, 99/4, 0, 393/4, 39/2, 0, 25/8, 0, 0}
F00 2 3 01 = {0, 0, 0, 0, 2, 0, 0, 0, 0, 0, -73/10, -8/5, 0, 0, -4, 0, 0, 0, 0, 0, 2755/56, 167/14, 15/14, 0, 0, 67/2, 7, 0, 0, 9/2, 0, 0, 0, 0, 0, -252319/480, -5149/40, -105/8, -2/3, 0, 0, -3081/8, -367/4, -8, 0, 0, -553/8, -14, 0, 0, -4, 0, 0, 0, 0, 0, 11415139/1408, 349793/176, 36161/176, 529/44, 35/88, 0, 0, 98529/16, 11973/8, 603/4, 15/2, 0, 0, 19779/16, 1161/4, 99/4, 0, 0, 393/4, 39/2, 0, 0, 25/8, 0, 0, 0, 0}
F00 3 3 00 = {0, 0, 0, -4, 0, 0, 0, 0, 0, 54/5, 18/5, 0, 0, 6, 0, 0, 0, 0, 0, -1773/28, -279/14, -18/7, 0, 0, -87/2, -12, 0, 0, -6, 0, 0, 0, 0, 0, 37583/60, 3647/20, 24, 5/3, 0, 0, 1845/4, 132, 15, 0, 0, 84, 21, 0, 0, 5, 0, 0, 0, 0, 0, -6488839/704, -449629/176, -13927/44, -1035/44, -45/44, 0, 0, -112353/16, -3879/2, -945/4, -15, 0, 0, -5685/4, -1539/4, -81/2, 0, 0, -459/4, -27, 0, 0, -15/4, 0, 0, 0, 0, 0}
F00 3 3 10 = {0, 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 54/5, 18/5, 0, 6, 0, 0, 0, 0, 0, 0, 0, -1773/28, -279/14, -18/7, 0, -87/2, -12, 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, 37583/60, 3647/20, 24, 5/3, 0, 1845/4, 132, 15, 0, 84, 21, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6488839/704, -449629/176, -13927/44, -1035/44, -45/44, 0, -112353/16, -3879/2, -945/4, -15, 0, -5685/4, -1539/4, -81/2, 0, -459/4, -27, 0, -15/4, 0, 0}
F00 3 3 01 = {0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 54/5, 18/5, 0, 0, 6, 0, 0, 0, 0, 0, -1773/28, -279/14, -18/7, 0, 0, -87/2, -12, 0, 0, -6, 0, 0, 0, 0, 0, 37583/60, 3647/20, 24, 5/3, 0, 0, 1845/4, 132, 15, 0, 0, 84, 21, 0, 0, 5, 0, 0, 0, 0, 0, -6488839/704, -449629/176, -13927/44, -1035/44, -45/44, 0, 0, -112353/16, -3879/2, -945/4, -15, 0, 0, -5685/4, -1539/4, -81/2, 0, 0, -459/4, -27, 0, 0, -15/4, 0, 0, 0, 0}
F00 4 3 00 = {0, 0, 0, 32/5, 0, 0, 0, 0, 0, -512/35, -32/5, 0, 0, -288/35, 0, 0, 0, 0, 0, 2734/35, 208/7, 32/7, 0, 0, 1136/21, 128/7, 0, 0, 160/21, 0, 0, 0, 0, 0, -120418/165, -1212/5, -36, -8/3, 0, 0, -89092/165, -536/3, -24, 0, 0, -3284/33, -88/3, 0, 0, -200/33, 0, 0, 0, 0, 0, 414246641/40040, 34778/11, 4689/11, 344/11, 14/11, 0, 0, 7912462/1001, 26698/11, 336, 24, 0, 0, 230385/143, 5400/11, 60, 0, 0, 18848/143, 392/11, 0, 0, 630/143, 0, 0, 0, 0, 0}
F00 4 3 10 = {0, 0, 0, 0, 0, 0, 32/5, 0, 0, 0, 0, 0, 0, -512/35, -32/5, 0, -288/35, 0, 0, 0, 0, 0, 0, 0, 2734/35, 208/7, 32/7, 0, 1136/21, 128/7, 0, 160/21, 0, 0, 0, 0, 0, 0, 0, 0, -120418/165, -1212/5, -36, -8/3, 0, -89092/165, -536/3, -24, 0, -3284/33, -88/3, 0, -200/33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 414246641/40040, 34778/11, 4689/11, 344/11, 14/11, 0, 7912462/1001, 26698/11, 336, 24, 0, 230385/143, 5400/11, 60, 0, 18848/143, 392/11, 0, 630/143, 0, 0}
